STATE,DUID,NAMEPLATE (MW),TYPE
VIC1,BDL01,47,Fossil
VIC1,BDL02,47,Fossil
VIC1,CHPSTWF1,6,Wind
NSW1,AGLSITA1,2,Renewable/ Biomass / Waste
VIC1,BAPS,13,Hydro
VIC1,MCKAY1,300,Hydro
NSW1,BROKENH1,53,Solar
NSW1,BDONGHYD,19,Hydro
VIC1,CLOVER,29,Hydro
NSW1,COPTNHYD,23,Hydro
VIC1,DARTM1,185,Hydro
VIC1,EILDON1,60,Hydro
VIC1,EILDON2,60,Hydro
NSW1,GLBWNHYD,6,Hydro
QLD1,ICSM,25,Renewable/ Biomass / Waste
NSW1,KINCUM1,1,Renewable/ Biomass / Waste
VIC1,MACARTH1,420,Wind
QLD1,MORANBAH,13,Fossil
NSW1,NYNGAN1,102,Solar
VIC1,OAKLAND1,63,Wind
NSW1,PINDARI,6,Hydro
VIC1,RUBICON,2.7,Hydro
VIC1,RUBICON,0.3,Hydro
VIC1,RUBICON,9.4,Hydro
VIC1,RUBICON,0.8,Hydro
VIC1,AGLSOM,170,Fossil
QLD1,YABULU,174,Fossil
QLD1,YABULU2,84,Fossil
VIC1,WKIEWA1,34,Hydro
VIC1,WKIEWA2,34,Hydro
NSW1,AGLNOW1,1,Renewable/ Biomass / Waste
NSW1,WOYWOY1,1,Renewable/ Biomass / Waste
VIC1,YWNGAHYD,9,Hydro
VIC1,LYA1,590,Fossil
VIC1,LYA2,535,Fossil
VIC1,LYA3,590,Fossil
VIC1,LYA4,580,Fossil
NSW1,BW01,700,Fossil
NSW1,BW02,700,Fossil
NSW1,BW03,700,Fossil
NSW1,BW04,700,Fossil
NSW1,HVGTS,50,Fossil
NSW1,LD01,550,Fossil
NSW1,LD02,550,Fossil
NSW1,LD03,550,Fossil
NSW1,LD04,550,Fossil
NSW1,STWF1,198,Wind
QLD1,COOPGWF1,169,Wind
QLD1,COOPGWF1,52,Wind
QLD1,COOPGWF1,152,Wind
QLD1,COOPGWF1,67,Wind
SA1,BARKIPS1,210,Fossil
SA1,HALLWF1,95,Wind
SA1,HALLWF2,71,Wind
SA1,NBHWF1,132,Wind
SA1,BLUFF1,53,Wind
SA1,TORRA1,120,Fossil
SA1,TORRA2,120,Fossil
SA1,TORRA3,120,Fossil
SA1,TORRA4,120,Fossil
SA1,TORRB1,210,Fossil
SA1,TORRB2,210,Fossil
SA1,TORRB3,210,Fossil
SA1,TORRB4,210,Fossil
SA1,WPWF,91,Wind
VIC1,BALDHWF1,106,Wind
VIC1,BANN1,88,Solar
VIC1,LOYYB1,550,Fossil
VIC1,LOYYB2,600,Fossil
VIC1,MAROOWF1,6,Wind
VIC1,TIMWEST,7.2,Wind
VIC1,YAWWF1,7.2,Wind
VIC1,ARWF1,241,Wind
QLD1,DAANDINE,30,Fossil
QLD1,BRAEMAR5,173,Fossil
QLD1,BRAEMAR6,173,Fossil
QLD1,BRAEMAR7,173,Fossil
TAS1,BLNKTAS,478,
VIC1,BLNKVIC,594,
NSW1,BOCORWF1,113,Wind
NSW1,BODWF1,111,Wind
QLD1,BRAEMAR1,173,Fossil
QLD1,BRAEMAR2,173,Fossil
QLD1,BRAEMAR3,173,Fossil
QLD1,RUGBYR1,65,Solar
QLD1,CSPVPS1,40,Solar
QLD1,CPP_3,420,Fossil
QLD1,CPP_4,420,Fossil
SA1,CNUNDAWF,46,Wind
NSW1,BWTR1,38,Renewable/ Biomass / Waste
NSW1,CONDONG1,30,Renewable/ Biomass / Waste
SA1,CATHROCK,66,Wind
QLD1,CHILDSF1,56,Solar
QLD1,CLARESF1,100,Solar
QLD1,BARRON-1,33,Hydro
QLD1,BARRON-2,33,Hydro
QLD1,KAREEYA1,22,Hydro
QLD1,KAREEYA2,22,Hydro
QLD1,KAREEYA3,22,Hydro
QLD1,KAREEYA4,22,Hydro
QLD1,KAREEYA5,7,Hydro
QLD1,SWAN_E,385,Fossil
QLD1,PUMP1,245,-
QLD1,PUMP2,245,-
QLD1,W/HOE#1,285,Hydro
QLD1,W/HOE#2,285,Hydro
QLD1,CLERMSF1,75,Solar
NSW1,COLEASF1,150,Solar
VIC1,CBWF1,20,Wind
NSW1,CROOKWF2,91,Wind
QLD1,CALL_A_4,30,Fossil
QLD1,CALL_B_1,385,Fossil
QLD1,CALL_B_2,385,Fossil
QLD1,GSTONE1,285,Fossil
QLD1,GSTONE2,285,Fossil
QLD1,GSTONE3,285,Fossil
QLD1,GSTONE4,285,Fossil
QLD1,GSTONE5,285,Fossil
QLD1,GSTONE6,285,Fossil
QLD1,KPP_1,781,Fossil
NSW1,CULLRGWF,30,Wind
QLD1,DDSF1,108,Solar
QLD1,DAYDSF1,71.34,Solar
QLD1,DAYDSF2,78.72,Solar
NSW1,VP5,680,Fossil
NSW1,VP6,680,Fossil
QLD1,BAKING1,14,Solar
QLD1,BARCSF1,20,Solar
QLD1,LRSF1,14,Solar
QLD1,OAKEY1SF,25,Solar
QLD1,OAKEY2SF,55,Solar
